Quarter	C	G	I
1981-01-01	109859750000	56521500000	43427750000
1981-04-01	109707500000	56411000000	44640750000
1981-07-01	109094500000	57100000000	43572500000
1981-10-01	109304250000	57255750000	43120750000
1982-01-01	107629750000	56774000000	41716750000
1982-04-01	106755250000	57354250000	38884250000
1982-07-01	106358750000	57843000000	37161750000
1982-10-01	105989250000	58007500000	38039000000
1983-01-01	107460750000	57002000000	37857000000
1983-04-01	108732250000	58061750000	38628750000
1983-07-01	110010000000	58672750000	39025500000
1983-10-01	111183000000	58737750000	39307250000
1984-01-01	112105750000	58881250000	39398500000
1984-04-01	113275500000	58904250000	39353000000
1984-07-01	113408250000	59587500000	39692500000
1984-10-01	115385000000	60350250000	39750000000
1985-01-01	116878250000	61260750000	40691500000
1985-04-01	117945500000	61786500000	42608500000
1985-07-01	120177000000	61306000000	43953500000
1985-10-01	121429750000	62827750000	44354000000
1986-01-01	121297000000	62862000000	44796250000
1986-04-01	122676500000	62451250000	44677500000
1986-07-01	124383000000	63070250000	44384500000
1986-10-01	124378750000	62834500000	44531250000
1987-01-01	125531750000	63360250000	45664750000
1987-04-01	127551500000	63845750000	47734500000
1987-07-01	128610000000	63404500000	50204500000
1987-10-01	130138000000	64197500000	51005000000
1988-01-01	131006000000	64956750000	52000250000
1988-04-01	132848500000	65560750000	52540000000
1988-07-01	133670750000	65857250000	54291750000
1988-10-01	135415250000	65876750000	53561000000
1989-01-01	136399750000	66124500000	55828750000
1989-04-01	138195000000	67036000000	55374500000
1989-07-01	137812750000	67819750000	55130250000
1989-10-01	138711000000	67725250000	56983000000
1990-01-01	140901000000	69043250000	56143000000
1990-04-01	139352000000	68224500000	54778750000
1990-07-01	139433000000	69732500000	53278750000
1990-10-01	138988750000	70508750000	51371000000
1991-01-01	136221250000	70143250000	51792750000
1991-04-01	138513000000	71460500000	51205500000
1991-07-01	138454000000	70943250000	51365250000
1991-10-01	139263000000	71498000000	52085000000
1992-01-01	139307000000	71612000000	51723250000
1992-04-01	139886500000	71210500000	49586750000
1992-07-01	140631750000	71195000000	50584250000
1992-10-01	141149250000	72338500000	48487000000
1993-01-01	141900000000	71647500000	47956000000
1993-04-01	142420750000	71952250000	49094500000
1993-07-01	143357000000	71120750000	50152750000
1993-10-01	143719750000	71063250000	50850750000
1994-01-01	146059250000	70027750000	51508750000
1994-04-01	146286500000	70914750000	53123000000
1994-07-01	146927250000	70981500000	53160000000
1994-10-01	148643000000	70614000000	53530500000
1995-01-01	148589500000	70532250000	52202500000
1995-04-01	149731250000	70324750000	52078750000
1995-07-01	151368250000	69755750000	51953000000
1995-10-01	151421500000	69118500000	52204250000
1996-01-01	153492500000	69168750000	53351250000
1996-04-01	153786250000	69162500000	53370250000
1996-07-01	154432000000	68108000000	55548250000
1996-10-01	157248000000	67955000000	58201000000
1997-01-01	159949000000	68505250000	59278750000
1997-04-01	161309750000	67997000000	60884000000
1997-07-01	163419500000	68137500000	62724500000
1997-10-01	164541250000	68122500000	63333750000
1998-01-01	164650500000	69954500000	63201000000
1998-04-01	166654500000	69237750000	63341250000
1998-07-01	167597250000	69501000000	63468250000
1998-10-01	168087500000	69315000000	64174000000
1999-01-01	170539250000	70086000000	64885250000
1999-04-01	172259000000	70534750000	66543750000
1999-07-01	174381500000	71655250000	67079750000
1999-10-01	176060750000	71749000000	68718250000
2000-01-01	177946750000	72563250000	69336750000
2000-04-01	179486500000	73362750000	69810750000
2000-07-01	181786750000	73705250000	70649000000
2000-10-01	182193750000	74155250000	70967750000
2001-01-01	183617500000	75104500000	72900250000
2001-04-01	183951750000	76049750000	73867250000
2001-07-01	184455000000	76266250000	74772500000
2001-10-01	186738250000	76371000000	72755750000
2002-01-01	189572500000	76901000000	72940250000
2002-04-01	192003000000	77215500000	73923750000
2002-07-01	192410000000	77977000000	75080750000
2002-10-01	194315750000	78569250000	75284000000
2003-01-01	195189000000	79431000000	75961000000
2003-04-01	196836750000	79712750000	76716750000
2003-07-01	198558750000	79919250000	79129500000
2003-10-01	198799750000	80547500000	80929250000
2004-01-01	201331500000	81067750000	82821500000
2004-04-01	202224000000	80921250000	84129250000
2004-07-01	204146250000	81586500000	85353500000
2004-10-01	205846000000	82028000000	86812250000
2005-01-01	208772500000	81589250000	89168500000
2005-04-01	210597250000	81878000000	91317750000
2005-07-01	212042500000	82341750000	93785750000
2005-10-01	214087250000	83257750000	95785750000
2006-01-01	217085250000	83592000000	97548500000
2006-04-01	219013250000	84483000000	98414500000
2006-07-01	221329750000	84756500000	98393750000
2006-10-01	223563750000	85289500000	98939750000
2007-01-01	225310500000	85630250000	100368500000
2007-04-01	228678750000	86030750000	101110750000
2007-07-01	230806500000	87230000000	101530250000
2007-10-01	235073000000	87260250000	102745250000
2008-01-01	237066250000	88041500000	105096500000
2008-04-01	237552500000	89963500000	104443250000
2008-07-01	237773250000	89931250000	103543250000
2008-10-01	234991500000	91234250000	99271500000
2009-01-01	234205500000	91244750000	89271750000
2009-04-01	235993250000	91958500000	88846500000
2009-07-01	238253000000	92447500000	91632250000
2009-10-01	239736000000	93205250000	95950250000
2010-01-01	242407250000	94040250000	99334000000
2010-04-01	244493500000	93933250000	101450500000
2010-07-01	246463000000	94266000000	102603500000
2010-10-01	248823750000	94918750000	104411000000
