Quarter	PCEC	GDP	IR	GDPI
1960-01-01	326.364	542.648	4.486666666666670	96.476
1960-04-01	332.208	541.080	4.260000000000000	87.096
1960-07-01	332.126	545.604	3.833333333333330	86.377
1960-10-01	334.024	540.197	3.886666666666670	75.963
1961-01-01	334.520	545.018	3.786666666666670	78.378
1961-04-01	339.455	555.545	3.790000000000000	84.108
1961-07-01	342.332	567.664	3.980000000000000	90.917
1961-10-01	349.593	580.612	3.973333333333330	92.931
1962-01-01	354.822	594.013	4.016666666666670	98.074
1962-04-01	360.458	600.366	3.873333333333330	96.706
1962-07-01	364.333	609.027	3.990000000000000	98.160
1962-10-01	370.618	612.280	3.903333333333330	94.968
1963-01-01	374.283	621.672	3.893333333333330	99.689
1963-04-01	378.413	629.752	3.963333333333330	101.650
1963-07-01	385.394	644.444	4.033333333333330	104.612
1963-10-01	390.049	653.938	4.120000000000000	107.189
1964-01-01	399.581	669.822	4.180000000000000	110.474
1964-04-01	407.536	678.674	4.200000000000000	110.518
1964-07-01	416.422	692.031	4.193333333333330	112.631
1964-10-01	418.987	697.319	4.173333333333330	114.984
1965-01-01	429.711	717.790	4.203333333333330	126.542
1965-04-01	436.642	730.191	4.206666666666670	127.052
1965-07-01	445.804	749.323	4.246666666666670	131.237
1965-10-01	459.736	771.857	4.473333333333330	133.752
1966-01-01	470.136	795.734	4.770000000000000	144.200
1966-04-01	475.189	804.981	4.780000000000000	143.501
1966-07-01	484.291	819.638	5.140000000000000	143.194
1966-10-01	490.060	833.302	5.003333333333330	145.855
1967-01-01	494.317	844.170	4.583333333333330	142.811
1967-04-01	503.458	848.983	4.820000000000000	137.495
1967-07-01	510.717	865.233	5.246666666666670	142.835
1967-10-01	518.249	881.439	5.643333333333330	147.653
1968-01-01	536.297	909.387	5.610000000000000	152.288
1968-04-01	550.014	934.344	5.743333333333330	158.943
1968-07-01	566.122	950.825	5.460000000000000	155.683
1968-10-01	574.977	968.030	5.770000000000000	160.760
1969-01-01	587.005	993.337	6.176666666666670	172.388
1969-04-01	598.337	1009.020	6.353333333333340	172.721
1969-07-01	608.626	1029.956	6.856666666666670	177.564
1969-10-01	620.586	1038.147	7.296666666666670	171.573
1970-01-01	631.685	1051.200	7.366666666666670	168.113
1970-04-01	641.570	1067.375	7.713333333333330	171.455
1970-07-01	653.482	1086.059	7.460000000000000	173.904
1970-10-01	660.161	1088.608	6.853333333333330	166.754
1971-01-01	679.186	1135.156	6.016666666666670	189.495
1971-04-01	693.225	1156.271	6.246666666666670	197.329
1971-07-01	705.599	1177.675	6.483333333333330	202.058
1971-10-01	721.739	1190.297	5.890000000000000	198.411
1972-01-01	738.948	1230.609	6.033333333333330	212.968
1972-04-01	757.364	1266.369	6.143333333333330	226.798
1972-07-01	775.799	1290.566	6.290000000000000	233.090
1972-10-01	800.502	1328.904	6.373333333333330	239.715
1973-01-01	825.007	1377.490	6.603333333333330	254.313
1973-04-01	840.527	1413.887	6.806666666666670	268.196
1973-07-01	858.877	1433.838	7.206666666666670	264.335
1973-10-01	873.887	1476.289	6.753333333333330	280.858
1974-01-01	891.868	1491.209	7.053333333333330	268.361
1974-04-01	920.422	1530.056	7.543333333333330	277.391
1974-07-01	949.276	1560.026	7.963333333333330	271.013
1974-10-01	959.079	1599.679	7.670000000000000	281.339
1975-01-01	985.190	1616.116	7.540000000000000	244.306
1975-04-01	1013.582	1651.853	8.050000000000000	243.281
1975-07-01	1047.192	1709.820	8.296666666666670	265.192
1975-10-01	1076.223	1761.831	8.063333333333340	276.236
1976-01-01	1109.908	1820.487	7.753333333333330	304.638
1976-04-01	1129.540	1852.332	7.773333333333330	322.303
1976-07-01	1158.806	1886.558	7.730000000000000	328.307
1976-10-01	1192.408	1934.273	7.190000000000000	337.650
1977-01-01	1228.212	1988.648	7.353333333333330	360.313
1977-04-01	1255.980	2055.909	7.370000000000000	389.703
1977-07-01	1286.905	2118.473	7.356666666666670	414.134
1977-10-01	1324.804	2164.270	7.596666666666670	422.299
1978-01-01	1354.053	2202.760	8.010000000000000	434.799
1978-04-01	1411.385	2331.633	8.320000000000000	470.584
1978-07-01	1442.217	2395.053	8.490000000000000	492.368
1978-10-01	1481.354	2476.949	8.820000000000000	515.755
1979-01-01	1517.141	2526.610	9.106666666666670	525.809
1979-04-01	1557.635	2591.247	9.113333333333330	539.293
1979-07-01	1611.867	2667.565	9.103333333333330	545.621
1979-10-01	1655.035	2723.883	10.446666666666700	547.875
1980-01-01	1702.302	2789.842	11.986666666666700	554.562
1980-04-01	1704.723	2797.352	10.476666666666700	519.294
1980-07-01	1763.771	2856.483	10.953333333333300	495.071
1980-10-01	1831.874	2985.557	12.423333333333300	551.472
1981-01-01	1885.734	3124.206	12.960000000000000	619.381
1981-04-01	1917.524	3162.532	13.750000000000000	609.843
1981-07-01	1958.099	3260.609	14.846666666666700	652.297
1981-10-01	1974.447	3280.818	14.086666666666700	643.395
1982-01-01	2014.155	3274.302	14.293333333333300	588.318
1982-04-01	2039.645	3331.972	13.930000000000000	593.621
1982-07-01	2085.671	3366.322	13.116666666666700	592.954
1982-10-01	2145.554	3402.561	10.666666666666700	549.242
1983-01-01	2184.589	3473.413	10.563333333333300	565.520
1983-04-01	2249.438	3578.848	10.543333333333300	613.783
1983-07-01	2319.895	3689.179	11.626666666666700	652.269
1983-10-01	2372.496	3794.706	11.686666666666700	718.496
1984-01-01	2418.165	3908.054	11.943333333333300	790.872
1984-04-01	2475.876	4009.601	13.200000000000000	818.894
1984-07-01	2513.523	4084.250	12.866666666666700	838.852
1984-10-01	2561.797	4148.551	11.743333333333300	831.741
1985-01-01	2636.008	4230.168	11.583333333333300	809.865
1985-04-01	2681.764	4294.887	10.813333333333300	827.040
1985-07-01	2754.148	4386.773	10.336666666666700	822.157
1985-10-01	2779.400	4444.094	9.760000000000000	859.545
1986-01-01	2823.648	4507.894	8.556666666666670	863.457
1986-04-01	2851.456	4545.340	7.603333333333330	855.237
1986-07-01	2917.201	4607.669	7.306666666666670	835.832
1986-10-01	2952.807	4657.627	7.263333333333330	842.063
1987-01-01	2983.513	4722.156	7.193333333333330	871.196
1987-04-01	3053.330	4806.160	8.343333333333340	874.588
1987-07-01	3117.358	4884.555	8.876666666666670	876.466
1987-10-01	3150.916	5007.994	9.123333333333330	946.459
1988-01-01	3231.896	5073.372	8.416666666666660	908.569
1988-04-01	3291.716	5190.036	8.910000000000000	934.525
1988-07-01	3361.899	5282.835	9.100000000000000	942.009
1988-10-01	3434.539	5399.509	8.956666666666670	962.748
1989-01-01	3490.172	5511.253	9.206666666666660	1005.487
1989-04-01	3553.767	5612.463	8.773333333333330	1001.047
1989-07-01	3609.399	5695.365	8.106666666666670	996.460
1989-10-01	3653.692	5747.237	7.906666666666670	995.809
1990-01-01	3737.948	5872.701	8.423333333333340	1010.838
1990-04-01	3783.421	5960.028	8.676666666666660	1014.720
1990-07-01	3846.700	6015.116	8.703333333333330	1000.785
1990-10-01	3867.909	6004.733	8.396666666666670	947.453
1991-01-01	3873.562	6035.178	8.016666666666660	924.569
1991-04-01	3926.932	6126.862	8.130000000000000	926.541
1991-07-01	3973.269	6205.937	7.940000000000000	947.476
1991-10-01	4000.032	6264.540	7.346666666666670	978.788
1992-01-01	4100.401	6363.102	7.303333333333330	956.817
1992-04-01	4155.660	6470.763	7.376666666666670	1013.084
1992-07-01	4226.971	6566.641	6.616666666666670	1024.162
1992-10-01	4307.205	6680.803	6.743333333333330	1057.962
1993-01-01	4349.515	6729.459	6.280000000000000	1083.829
1993-04-01	4418.581	6808.939	5.990000000000000	1094.479
1993-07-01	4487.189	6882.098	5.616666666666670	1095.852
1993-10-01	4552.651	7013.738	5.606666666666670	1153.142
1994-01-01	4621.223	7115.652	6.066666666666670	1201.675
1994-04-01	4683.163	7246.931	7.083333333333330	1264.948
1994-07-01	4752.761	7331.075	7.333333333333330	1251.749
1994-10-01	4826.713	7455.288	7.836666666666670	1307.566
1995-01-01	4862.436	7522.289	7.483333333333330	1327.586
1995-04-01	4933.609	7580.997	6.620000000000000	1303.988
1995-07-01	4998.662	7683.125	6.323333333333330	1303.248
1995-10-01	5055.655	7772.586	5.893333333333330	1335.135
1996-01-01	5130.615	7868.468	5.910000000000000	1355.353
1996-04-01	5220.499	8032.840	6.720000000000000	1418.388
1996-07-01	5274.505	8131.408	6.780000000000000	1474.350
1996-10-01	5352.763	8259.771	6.343333333333330	1480.128
1997-01-01	5433.105	8362.655	6.563333333333330	1522.404
1997-04-01	5471.267	8518.825	6.696666666666670	1590.218
1997-07-01	5579.179	8662.823	6.243333333333330	1625.251
1997-10-01	5663.610	8765.907	5.906666666666670	1644.529
1998-01-01	5721.342	8866.480	5.586666666666670	1712.324
1998-04-01	5832.566	8969.699	5.596666666666670	1695.773
1998-07-01	5926.846	9121.097	5.203333333333330	1741.623
1998-10-01	6028.238	9293.991	4.670000000000000	1796.964
1999-01-01	6102.040	9411.682	4.983333333333330	1853.063
1999-04-01	6230.641	9526.210	5.540000000000000	1848.341
1999-07-01	6335.310	9686.626	5.883333333333330	1893.735
1999-10-01	6467.039	9900.169	6.140000000000000	1953.097
2000-01-01	6618.217	10002.179	6.480000000000000	1950.650
2000-04-01	6711.911	10247.720	6.176666666666670	2075.786
2000-07-01	6819.984	10318.165	5.893333333333330	2059.969
2000-10-01	6918.606	10435.744	5.566666666666670	2067.227
2001-01-01	6995.298	10470.231	5.050000000000000	1971.333
2001-04-01	7042.250	10599.000	5.270000000000000	1973.033
2001-07-01	7070.337	10598.020	4.980000000000000	1944.909
2001-10-01	7187.320	10660.465	4.770000000000000	1850.091
2002-01-01	7217.715	10783.500	5.076666666666670	1912.659
2002-04-01	7307.955	10887.460	5.100000000000000	1933.282
2002-07-01	7397.135	10984.040	4.260000000000000	1933.197
2002-10-01	7472.958	11061.433	4.006666666666670	1942.531
2003-01-01	7567.160	11174.129	3.920000000000000	1960.221
2003-04-01	7661.458	11312.766	3.620000000000000	1972.386
2003-07-01	7820.927	11566.669	4.233333333333330	2044.304
2003-10-01	7913.453	11772.234	4.286666666666670	2131.311
2004-01-01	8048.777	11923.447	4.020000000000000	2154.052
2004-04-01	8147.108	12112.815	4.600000000000000	2262.607
2004-07-01	8283.335	12305.307	4.303333333333330	2318.272
2004-10-01	8448.621	12527.214	4.173333333333330	2390.082
2005-01-01	8551.735	12767.286	4.296666666666670	2486.068
2005-04-01	8701.145	12922.656	4.160000000000000	2476.474
2005-07-01	8868.089	13142.642	4.213333333333330	2531.076
2005-10-01	8955.295	13324.204	4.490000000000000	2645.263
2006-01-01	9100.153	13599.160	4.570000000000000	2709.740
2006-04-01	9227.649	13753.424	5.070000000000000	2709.252
2006-07-01	9353.772	13870.188	4.896666666666670	2709.420
2006-10-01	9427.368	14039.560	4.630000000000000	2675.406
2007-01-01	9572.138	14215.651	4.680000000000000	2664.295
2007-04-01	9678.713	14402.082	4.846666666666670	2699.217
2007-07-01	9798.383	14564.117	4.730000000000000	2685.969
2007-10-01	9937.140	14715.058	4.260000000000000	2642.560
2008-01-01	10004.445	14706.538	3.663333333333330	2563.701
2008-04-01	10129.869	14865.701	3.886666666666670	2540.595
2008-07-01	10159.078	14898.999	3.863333333333330	2498.242
2008-10-01	9906.942	14608.208	3.253333333333330	2307.915
2009-01-01	9814.969	14430.901	2.736666666666670	2014.878
2009-04-01	9805.502	14381.236	3.313333333333330	1863.650
2009-07-01	9939.406	14448.882	3.516666666666670	1841.416
2009-10-01	10004.996	14651.248	3.460000000000000	1998.710
2010-01-01	10101.822	14764.611	3.716666666666670	2038.161
2010-04-01	10208.145	14980.193	3.490000000000000	2148.795
2010-07-01	10300.754	15141.605	2.786666666666670	2236.495
2010-10-01	10430.304	15309.471	2.863333333333330	2238.440
2011-01-01	10558.195	15351.444	3.460000000000000	2205.962
2011-04-01	10673.018	15557.535	3.210000000000000	2297.352
2011-07-01	10755.029	15647.681	2.426666666666670	2322.840
2011-10-01	10809.186	15842.267	2.046666666666670	2504.095
2012-01-01	10959.301	16068.824	2.036666666666670	2567.750
2012-04-01	11005.055	16207.130	1.823333333333330	2636.863
2012-07-01	11059.393	16319.540	1.643333333333330	2644.119
2012-10-01	11165.703	16420.386	1.706666666666670	2638.282
2013-01-01	11265.599	16629.050	1.950000000000000	2738.236
2013-04-01	11290.973	16699.551	1.996666666666670	2775.276
2013-07-01	11379.188	16911.068	2.710000000000000	2879.995
2013-10-01	11518.351	17133.114	2.746666666666670	2910.546
2014-01-01	11618.108	17144.281	2.763333333333330	2899.216
2014-04-01	11784.687	17462.703	2.623333333333330	3030.425
2014-07-01	11934.297	17743.227	2.496666666666670	3107.620
2014-10-01	12053.809	17852.540	2.280000000000000	3139.452
2015-01-01	12083.904	17991.348	1.966666666666670	3245.050
2015-04-01	12224.707	18193.707	2.166666666666670	3245.825
